name,rating,price,url,description,instruction,country
Парфюмерная вода ART&NOSE  Composition #5,-,1 595,https://goldapple.ru/19000311816-composition-5,"Глубокий синий цвет и его оттенки встречаются в «живописной архитектонике» Любови Поповой, супрематических фигурах Ольги Розановой и кубофутуризме Александры Экстер, что говорит о его важной роли в работах конструктивистов.
Кобальтовый флакон аромата Composition №5 заключает в себе фужерно-древесную композицию, старт которой отмечен зелено-ароматическими тонами базилика в союзе со специями — терпким имбирем и душистым перцем.
Классическая фужерная структура образована нотами лаванды и кумарина, поддержанными свежестью шалфея и строгостью кедра. Заключительный аккорд отмечен взаимодействием нот замши, амбры, пачули и белого мускуса.","Нанести на кожу, избегая попадания в глаза. Не для пищевых целей. Только для наружного применения.",Россия
"Парфюмерная вода Bon Parfumeur Paris!  003 – yuzu, feuilles de violette, vétiver",4.7,3 217,https://goldapple.ru/19760300432-003-yuzu-feuilles-de-violette-vetiver,"Юзу, ветивер, листья фиалки – три характерные ноты аромата 003 от Bon Parfumeur. Одновременно воздушная и пикантная композиция с мятным оттенком освежает, словно прохладный мохито. Нежные свежие ноты, напоминающие зеленый чай, придают ей пьянящую лёгкость. За воздушным пудровым аккордом и изысканными белыми цветами скрываются игривые древесные ноты. Элеми усиливает все грани притягательного аромата, зовущего в освежающее ольфактивное путешествие. 
 
Верхние ноты: бергамот, юзу, листья фиалки. 
Ноты сердца: жасмин, нероли, элеми. 
Базовые ноты: ветивер, мускус. 
",-,Франция
Парфюмерная вода J.U.S Joyau Unique & Sensoriel  Sensoriel Ambraser,4.7,7 850,https://goldapple.ru/19000153561-sensoriel-ambraser,"Аромат J.U.S напоминает о летнем дне, проведенном на берегу моря: солнечные блики мерцают в воде, теплый песок ощущается на коже, морской бриз несет с собой свежесть, а время будто остановилось. Композиция передает контраст золотого и теплого сияния солнца и минеральной свежести морской соли. 
Согревающие ноты кедра и амбры делают композицию чувственной и уносят в беззаботные и расслабленные дни отдыха. Классификация аромата: соленый, амбровый. Парфюмер – Aurélien Guichard.

",Для наружного применения.,Франция
Парфюмерная вода ATKINSONS  41 Burlington Arcade,3.7,15 525,https://goldapple.ru/82510800002-41-burlington-arcade,"Современный, чувственный и выразительный аромат получил название в честь флагманского бутика ATKINSONS, расположенного в лондонской торговой галерее Burlington Arcade. Композиция с нотами белого перца, лимона, лакричника, кардамона и мускатного ореха – это выбор английских денди и символ аристократичной элегантности. Сочетание сладких, древесных и дымных нот делает этот аромат выразительным и запоминающимся. В нем воплотился дух и колорит фешенебельного района Лондона.
 

",-,Италия
Парфюмерная вода Bvlgari  Allegra Riva Solare,5.0,21 310,https://goldapple.ru/19000010974-allegra-riva-solare,"Искрящийся цитрусово-цветочный аромат Riva Solare – это парфюмерное воплощение ярких и захватывающих каникул в Италии. Композиция из коллекции Bvlgari Allegra, раскрывающей яркость и глубину итальянских эмоций, передаёт прилив радости от прогулки у Средиземного моря. Бодрящий и освежающий всплеск аромата калабрийского бергамота отражает уникальную атмосферу итальянской Ривьеры. Изысканная и чувственная нота нероли добавляет композиции зеленые и белоцветочные акценты, воплощающие живительную энергию солнца и моря. Усилить звучание этого яркого аромата и создать индивидуальное сочетание под своё настроение можно с помощью одной из эссенций коллекции Bvlgari Allegra, идеально дополняющих гармонию нот. Ваш персонализированный аромат начинается здесь!

Ключевые ноты: бергамот, нероли 

",-,Италия
Туалетная вода LE PARFUM FRANCAIS  FLORA BLOOM,4.0,750,https://goldapple.ru/19000152687-flora-bloom,"Насыщенный и пьянящий аромат LE PARFUM FRANCAIS – это пышный букет цветов, в котором собраны роза, ирис, жасмин и лилия. Изысканную, но при этом чувственную композицию украшает фруктовая свежесть грейпфрута и черной смородины. Пачули, бобы тонка и лёгкая сладость ванили гармонично дополняют женственный цветочный аромат. ",-,Франция
Парфюмерная вода BASTILLE  Un Deux Trois Soleil,4.3,9 682,https://goldapple.ru/19000150183-un-deux-trois-soleil,"Французская парфюмерная вода BASTILLE произведена на основе натуральных компонентов. Светлый и озорной восточный аромат UN DEUX TROIS SOLEIL пробуждает теплые воспоминания о детстве: послеобеденных играх с друзьями в солнечный день или семейных праздниках, во время которых угощают лакомствами. 
В беззаботное время возвращают игривые гурманские ноты, многим знакомые с ранних лет: миндаль, ваниль и многогранные бобы тонка. Их сладость смягчают сияющие ноты цитрусов, гелиотропа и бензоина. 
Парфюмер – Domitille Michalon-Bertier.

",Для наружного применения.,Франция
Парфюмерная вода Rose et Marius  Un rendez-vous avec Cézanne,4.8,2 652,https://goldapple.ru/19000173779-un-rendez-vous-avec-cezanne,"Прикоснитесь к искусству жизни на Юге Франции с уникальными композициями из Грасса. Отправьтесь на воображаемую прогулку с Полем Сезанном на гору Сент-Виктуар в окрестностях Экс-ан-Прованс. Парфюмерная вода Un rendez-vous avec Cézanne — ольфакторное впечатление по следам художника. 
Высушенные на солнце листья светлого табака сочетаются с теплыми нотами кожи и пряными цветами бессмертника. Амбровая грань придает изысканную чувственность нижним нотам. 
Бархатистое звучание завораживает ярким сочетанием кедра, кипариса.
",Распылите на кожу на расстоянии 20-30 см.,Франция
Парфюмерная вода Givenchy   irresistible very floral,4.4,12 510,https://goldapple.ru/19000247238-irresistible-very-floral,"Новый неотразимый древесно-цветочный женский аромат в сердце представлен интенсивным дуэтом пленительных цветов розы. Изысканный аромат Givenchy сочетает в себе Centifolia Rose и Rose Essential, чтобы выразить цветочные и очень женственные грани неотразимой фирменной розы. Белый букет из пудрового ириса, иланг-иланга и абсолюта жасмина самбак раскрывается, излучая солнечное сияние. Женский аромат удивляет своей дерзостью, раскрывая контраст между яркими гранями бутонов французской черной смородины и неожиданной свежестью аккорда кокосовой воды. Для создания стойкого шлейфа яркие древесные ноты кашмерана смешиваются с кедром, создавая глубоко звучащий мускусный аромат.","Нанесите аромат на запястья, шею и точки пульса.",Франция
Парфюмерный экстракт Mind Games  Castling,4.4,17 885,https://goldapple.ru/19000166820-castling,"В шахматах рокировка превращает защиту в нападение и меняет намерения игрока, которые легко могут привести к победе. Аромат превосходит ожидания и отличается яркостью, элегантностью и утонченностью. 
Бергамот и яркие цветы склоняются перед глубокими нотами белой древесины, ветивера и мускуса. Каким будет ваш следующий ход? Исследуйте разум, чувства, силу духа с MIND GAMES и погрузитесь в стратегически идеальные композиции.
",Распылите на кожу с расстояния 20-30 см.,США
